country,date,totalPopulation
新北市,2007,3784327
新北市,2008,3814823
新北市,2009,3853936
新北市,2010,3887423
新北市,2011,3905513
新北市,2012,3927806
新北市,2013,3947530
新北市,2014,3958961
新北市,2015,3967251
新北市,2016,3973764
新北市,2017,3983223
新北市,2018,3989332
新北市,2019,4002620
宜蘭縣,2007,460246
宜蘭縣,2008,460916
宜蘭縣,2009,461170
宜蘭縣,2010,461071
宜蘭縣,2011,459570
宜蘭縣,2012,458592
宜蘭縣,2013,458577
宜蘭縣,2014,458659
宜蘭縣,2015,458298
宜蘭縣,2016,457770
宜蘭縣,2017,457000
宜蘭縣,2018,455848
宜蘭縣,2019,454763
桃園市,2007,1925222
桃園市,2008,1947229
桃園市,2009,1968688
桃園市,2010,1996193
桃園市,2011,2007055
桃園市,2012,2021547
桃園市,2013,2037627
桃園市,2014,2050551
桃園市,2015,2086101
桃園市,2016,2127218
桃園市,2017,2169267
桃園市,2018,2206081
桃園市,2019,2231753
新竹縣,2007,492736
新竹縣,2008,499701
新竹縣,2009,507078
新竹縣,2010,511756
新竹縣,2011,515420
新竹縣,2012,520757
新竹縣,2013,527432
新竹縣,2014,534219
新竹縣,2015,539588
新竹縣,2016,544931
新竹縣,2017,549915
新竹縣,2018,554678
新竹縣,2019,559136
苗栗縣,2007,559875
苗栗縣,2008,560072
苗栗縣,2009,560928
苗栗縣,2010,560988
苗栗縣,2011,561158
苗栗縣,2012,562814
苗栗縣,2013,564796
苗栗縣,2014,566459
苗栗縣,2015,565450
苗栗縣,2016,561267
苗栗縣,2017,556192
苗栗縣,2018,550982
苗栗縣,2019,547277
臺中市,2007,1299425
臺中市,2008,1308077
臺中市,2009,1314994
臺中市,2010,1378593
臺中市,2011,2656351
臺中市,2012,2675039
臺中市,2013,2694393
臺中市,2014,2709888
臺中市,2015,2732970
臺中市,2016,2755714
臺中市,2017,2777686
臺中市,2018,2795737
臺中市,2019,2809199
彰化縣,2007,1314155
彰化縣,2008,1313271
彰化縣,2009,1312339
彰化縣,2010,1309512
彰化縣,2011,1304439
彰化縣,2012,1300606
彰化縣,2013,1297816
彰化縣,2014,1293463
彰化縣,2015,1289441
彰化縣,2016,1288391
彰化縣,2017,1284354
彰化縣,2018,1279416
彰化縣,2019,1275452
南投縣,2007,533967
南投縣,2008,532683
南投縣,2009,531216
南投縣,2010,528524
南投縣,2011,524383
南投縣,2012,521159
南投縣,2013,518677
南投縣,2014,515675
南投縣,2015,511466
南投縣,2016,507009
南投縣,2017,502998
南投縣,2018,498969
南投縣,2019,495759
雲林縣,2007,726466
雲林縣,2008,724880
雲林縣,2009,723039
雲林縣,2010,719596
雲林縣,2011,715218
雲林縣,2012,711891
雲林縣,2013,709293
雲林縣,2014,706846
雲林縣,2015,701802
雲林縣,2016,696914
雲林縣,2017,692314
雲林縣,2018,688258
雲林縣,2019,683831
嘉義縣,2007,551876
嘉義縣,2008,549429
嘉義縣,2009,547735
嘉義縣,2010,545190
嘉義縣,2011,540068
嘉義縣,2012,535184
嘉義縣,2013,531096
嘉義縣,2014,526805
嘉義縣,2015,521722
嘉義縣,2016,517345
嘉義縣,2017,513001
嘉義縣,2018,508914
嘉義縣,2019,505287
臺南市,2007,934209
臺南市,2008,935837
臺南市,2009,937057
臺南市,2010,977927
臺南市,2011,1874828
臺南市,2012,1879056
臺南市,2013,1882586
臺南市,2014,1883329
臺南市,2015,1885151
臺南市,2016,1885501
臺南市,2017,1886340
臺南市,2018,1884807
臺南市,2019,1882758
高雄市,2007,1380853
高雄市,2008,1383320
高雄市,2009,1384788
高雄市,2010,1446315
高雄市,2011,2773165
高雄市,2012,2775947
高雄市,2013,2779217
高雄市,2014,2778157
高雄市,2015,2778694
高雄市,2016,2778414
高雄市,2017,2777940
高雄市,2018,2774269
高雄市,2019,2773410
屏東縣,2007,890497
屏東縣,2008,886887
屏東縣,2009,883297
屏東縣,2010,877935
屏東縣,2011,868503
屏東縣,2012,861058
屏東縣,2013,855083
屏東縣,2014,850133
屏東縣,2015,843919
屏東縣,2016,838305
屏東縣,2017,832438
屏東縣,2018,827810
屏東縣,2019,822575
臺東縣,2007,234373
臺東縣,2008,232660
臺東縣,2009,232122
臺東縣,2010,231717
臺東縣,2011,229327
臺東縣,2012,227129
臺東縣,2013,225405
臺東縣,2014,224839
臺東縣,2015,223243
臺東縣,2016,221505
臺東縣,2017,220062
臺東縣,2018,219427
臺東縣,2019,218023
花蓮縣,2007,343899
花蓮縣,2008,342393
花蓮縣,2009,341051
花蓮縣,2010,339914
花蓮縣,2011,337572
花蓮縣,2012,335883
花蓮縣,2013,334407
花蓮縣,2014,333613
花蓮縣,2015,332426
花蓮縣,2016,331359
花蓮縣,2017,329964
花蓮縣,2018,328586
花蓮縣,2019,327245
澎湖縣,2007,92137
澎湖縣,2008,92741
澎湖縣,2009,94886
澎湖縣,2010,96535
澎湖縣,2011,96817
澎湖縣,2012,97934
澎湖縣,2013,99466
澎湖縣,2014,101164
澎湖縣,2015,101963
澎湖縣,2016,102593
澎湖縣,2017,103571
澎湖縣,2018,104184
澎湖縣,2019,104643
基隆市,2007,390319
基隆市,2008,389451
基隆市,2009,388654
基隆市,2010,386042
基隆市,2011,381673
基隆市,2012,378243
基隆市,2013,375978
基隆市,2014,373903
基隆市,2015,372660
基隆市,2016,371973
基隆市,2017,371843
基隆市,2018,370712
基隆市,2019,369665
新竹市,2007,397382
新竹市,2008,402424
新竹市,2009,408756
新竹市,2010,413624
新竹市,2011,417557
新竹市,2012,422630
新竹市,2013,427003
新竹市,2014,430256
新竹市,2015,433001
新竹市,2016,435509
新竹市,2017,439359
新竹市,2018,443516
新竹市,2019,446896
臺中市,2007,1299425
臺中市,2008,1308077
臺中市,2009,1314994
臺中市,2010,1378593
臺中市,2011,2656351
臺中市,2012,2675039
臺中市,2013,2694393
臺中市,2014,2709888
臺中市,2015,2732970
臺中市,2016,2755714
臺中市,2017,2777686
臺中市,2018,2795737
臺中市,2019,2809199
嘉義市,2007,272708
嘉義市,2008,273734
嘉義市,2009,273993
嘉義市,2010,273067
嘉義市,2011,271977
嘉義市,2012,271469
嘉義市,2013,271166
嘉義市,2014,270921
嘉義市,2015,270714
嘉義市,2016,270112
嘉義市,2017,269631
嘉義市,2018,268983
嘉義市,2019,268418
臺南市,2007,934209
臺南市,2008,935837
臺南市,2009,937057
臺南市,2010,977927
臺南市,2011,1874828
臺南市,2012,1879056
臺南市,2013,1882586
臺南市,2014,1883329
臺南市,2015,1885151
臺南市,2016,1885501
臺南市,2017,1886340
臺南市,2018,1884807
臺南市,2019,1882758
臺北市,2007,2627248
臺北市,2008,2627438
臺北市,2009,2614568
臺北市,2010,2607806
臺北市,2011,2636058
臺北市,2012,2662897
臺北市,2013,2680810
臺北市,2014,2694214
臺北市,2015,2703947
臺北市,2016,2700649
臺北市,2017,2688429
臺北市,2018,2674946
臺北市,2019,2659632
高雄市,2007,1380853
高雄市,2008,1383320
高雄市,2009,1384788
高雄市,2010,1446315
高雄市,2011,2773165
高雄市,2012,2775947
高雄市,2013,2779217
高雄市,2014,2778157
高雄市,2015,2778694
高雄市,2016,2778414
高雄市,2017,2777940
高雄市,2018,2774269
高雄市,2019,2773410
福建省,2007,89538
福建省,2008,93079
福建省,2009,99404
福建省,2010,105530
福建省,2011,110430
福建省,2012,119421
福建省,2013,128940
福建省,2014,136802
福建省,2015,142982
福建省,2016,146265
福建省,2017,148799
福建省,2018,151179
福建省,2019,152469
金門縣,2007,79679
金門縣,2008,83184
金門縣,2009,89576
金門縣,2010,95560
金門縣,2011,100412
金門縣,2012,108849
金門縣,2013,117119
金門縣,2014,124402
金門縣,2015,130462
金門縣,2016,133713
金門縣,2017,136060
金門縣,2018,138171
金門縣,2019,139395
連江縣,2007,9859
連江縣,2008,9894
連江縣,2009,9828
連江縣,2010,9969
連江縣,2011,10017
連江縣,2012,10572
連江縣,2013,11821
連江縣,2014,12399
連江縣,2015,12520
連江縣,2016,12552
連江縣,2017,12739
連江縣,2018,13008
連江縣,2019,13073
