country,date,populationDiff
新北市,2008.0,30496
新北市,2009.0,39113
新北市,2010.0,33487
新北市,2011.0,18090
新北市,2012.0,22293
新北市,2013.0,19724
新北市,2014.0,11431
新北市,2015.0,8290
新北市,2016.0,6513
新北市,2017.0,9459
新北市,2018.0,6109
新北市,2019.0,13288
宜蘭縣,2008.0,670
宜蘭縣,2009.0,254
宜蘭縣,2010.0,-99
宜蘭縣,2011.0,-1501
宜蘭縣,2012.0,-978
宜蘭縣,2013.0,-15
宜蘭縣,2014.0,82
宜蘭縣,2015.0,-361
宜蘭縣,2016.0,-528
宜蘭縣,2017.0,-770
宜蘭縣,2018.0,-1152
宜蘭縣,2019.0,-1085
桃園市,2008.0,22007
桃園市,2009.0,21459
桃園市,2010.0,27505
桃園市,2011.0,10862
桃園市,2012.0,14492
桃園市,2013.0,16080
桃園市,2014.0,12924
桃園市,2015.0,35550
桃園市,2016.0,41117
桃園市,2017.0,42049
桃園市,2018.0,36814
桃園市,2019.0,25672
新竹縣,2008.0,6965
新竹縣,2009.0,7377
新竹縣,2010.0,4678
新竹縣,2011.0,3664
新竹縣,2012.0,5337
新竹縣,2013.0,6675
新竹縣,2014.0,6787
新竹縣,2015.0,5369
新竹縣,2016.0,5343
新竹縣,2017.0,4984
新竹縣,2018.0,4763
新竹縣,2019.0,4458
苗栗縣,2008.0,197
苗栗縣,2009.0,856
苗栗縣,2010.0,60
苗栗縣,2011.0,170
苗栗縣,2012.0,1656
苗栗縣,2013.0,1982
苗栗縣,2014.0,1663
苗栗縣,2015.0,-1009
苗栗縣,2016.0,-4183
苗栗縣,2017.0,-5075
苗栗縣,2018.0,-5210
苗栗縣,2019.0,-3705
臺中市,2008.0,8652
臺中市,2009.0,6917
臺中市,2010.0,63599
臺中市,2011.0,1277758
臺中市,2012.0,18688
臺中市,2013.0,19354
臺中市,2014.0,15495
臺中市,2015.0,23082
臺中市,2016.0,22744
臺中市,2017.0,21972
臺中市,2018.0,18051
臺中市,2019.0,13462
臺中市,2007.0,-1509774
臺中市,2008.0,8652
