date,縣市,鄉鎮,戶數,人口總,人口男,人口女
2007/3/1,總計,臺灣地區,7380217,22792780,11539693,11253087
2007/3/1,總計,臺灣省,5888276,18651530,9505179,9146351
2007/3/1,總計,新北市,1285668,3771528,1888465,1883063
2007/3/1,總計,宜蘭縣,145031,460211,236195,224016
2007/3/1,總計,桃園市,607502,1915521,973309,942212
2007/3/1,總計,新竹縣,143929,489334,253504,235830
2007/3/1,總計,苗栗縣,160956,559709,292586,267123
2007/3/1,總計,臺中市,437103,1544771,786970,757801
2007/3/1,總計,彰化縣,344856,1314822,678370,636452
2007/3/1,總計,南投縣,162641,534724,277245,257479
2007/3/1,總計,雲林縣,216366,727446,382312,345134
2007/3/1,總計,嘉義縣,167137,552819,290181,262638
2007/3/1,總計,臺南市,349995,1106114,568160,537954
2007/3/1,總計,高雄市,411275,1244560,641661,602899
2007/3/1,總計,屏東縣,264920,891915,461789,430126
2007/3/1,總計,臺東縣,77396,235226,124290,110936
2007/3/1,總計,花蓮縣,115543,344550,179387,165163
2007/3/1,總計,澎湖縣,30085,91950,47563,44387
2007/3/1,總計,基隆市,141042,390412,198113,192299
2007/3/1,總計,新竹市,128604,396261,198690,197571
2007/3/1,總計,臺中市,354930,1046372,512444,533928
2007/3/1,總計,嘉義市,89647,272221,134931,137290
2007/3/1,總計,臺南市,253650,761064,379014,382050
2007/3/1,總計,臺北市,939801,2626273,1278977,1347296
2007/3/1,總計,高雄市,552140,1514977,755537,759440
2007/3/1,總計,福建省,30613,87674,47049,40625
2007/3/1,總計,金門縣,28716,77873,41311,36562
2007/3/1,總計,連江縣,1897,9801,5738,4063
2007/3/1,新北市,板橋區,179223,544649,271929,272720
2007/3/1,新北市,三重區,129159,383506,192624,190882
2007/3/1,新北市,永和區,86712,235458,113846,121612
2007/3/1,新北市,中和區,144913,410116,204269,205847
2007/3/1,新北市,新莊區,126920,393330,195688,197642
2007/3/1,新北市,新店區,109172,289695,143478,146217
2007/3/1,新北市,土城區,77351,236970,119069,117901
2007/3/1,新北市,蘆洲區,60095,190296,94774,95522
2007/3/1,新北市,汐止區,72806,179174,89752,89422
2007/3/1,新北市,樹林區,50931,162792,82548,80244
2007/3/1,新北市,鶯歌區,25164,85157,43463,41694
2007/3/1,新北市,三峽區,29010,92302,47732,44570
2007/3/1,新北市,淡水區,48373,130334,64219,66115
2007/3/1,新北市,瑞芳區,15385,43630,22443,21187
2007/3/1,新北市,五股區,25088,76463,38968,37495
2007/3/1,新北市,泰山區,23980,73216,37121,36095
2007/3/1,新北市,林口區,20301,63015,31612,31403
2007/3/1,新北市,深坑區,7959,21777,11141,10636
2007/3/1,新北市,石碇區,3132,7927,4420,3507
2007/3/1,新北市,坪林區,2317,6612,3724,2888
2007/3/1,新北市,三芝區,8397,23494,12269,11225
2007/3/1,新北市,石門區,3594,11726,6232,5494
2007/3/1,新北市,八里區,10887,32394,16655,15739
2007/3/1,新北市,平溪區,2334,5769,3213,2556
2007/3/1,新北市,雙溪區,3768,9952,5383,4569
2007/3/1,新北市,貢寮區,4265,13943,7275,6668
2007/3/1,新北市,金山區,6348,22198,11351,10847
2007/3/1,新北市,萬里區,6420,20283,10518,9765
2007/3/1,新北市,烏來區,1664,5350,2749,2601
2007/3/1,宜蘭縣,宜蘭市,31473,95579,47428,48151
2007/3/1,宜蘭縣,羅東鎮,23903,74201,35726,38475
2007/3/1,宜蘭縣,蘇澳鎮,12979,43121,22450,20671
2007/3/1,宜蘭縣,頭城鎮,9106,31842,16544,15298
2007/3/1,宜蘭縣,礁溪鄉,11568,35986,18939,17047
2007/3/1,宜蘭縣,壯圍鄉,7689,25338,13405,11933
2007/3/1,宜蘭縣,員山鄉,10095,32444,17496,14948
2007/3/1,宜蘭縣,冬山鄉,16039,51174,26590,24584
2007/3/1,宜蘭縣,五結鄉,11916,37600,19711,17889
2007/3/1,宜蘭縣,三星鄉,6827,21237,11560,9677
2007/3/1,宜蘭縣,大同鄉,1752,5801,3224,2577
2007/3/1,宜蘭縣,南澳鄉,1684,5888,3122,2766
2007/3/1,桃園市,桃園區,130403,386556,190351,196205
2007/3/1,桃園市,中壢區,114694,355780,179117,176663
2007/3/1,桃園市,平鎮區,60510,201060,101973,99087
2007/3/1,桃園市,八德區,52418,171396,88284,83112
2007/3/1,桃園市,大溪區,26999,89512,46454,43058
2007/3/1,桃園市,楊梅區,42965,141088,72311,68777
2007/3/1,桃園市,蘆竹區,41581,128772,65073,63699
2007/3/1,桃園市,大園區,23423,79312,41473,37839
2007/3/1,桃園市,龜山區,45034,130138,66743,63395
2007/3/1,桃園市,龍潭區,34049,112077,57391,54686
2007/3/1,桃園市,新屋區,14215,49896,26679,23217
2007/3/1,桃園市,觀音區,17608,59175,31421,27754
2007/3/1,桃園市,復興區,3603,10759,6039,4720
2007/3/1,新竹縣,竹北市,37694,121183,61122,60061
2007/3/1,新竹縣,關西鎮,8740,32730,17499,15231
2007/3/1,新竹縣,新埔鎮,9770,36171,19217,16954
2007/3/1,新竹縣,竹東鎮,28305,95910,48516,47394
2007/3/1,新竹縣,湖口鄉,21621,73573,37898,35675
2007/3/1,新竹縣,橫山鄉,4150,14744,8063,6681
2007/3/1,新竹縣,新豐鄉,14316,51208,26605,24603
2007/3/1,新竹縣,芎林鄉,5862,20756,10935,9821
2007/3/1,新竹縣,寶山鄉,4388,13758,7457,6301
2007/3/1,新竹縣,北埔鄉,2937,10430,5658,4772
2007/3/1,新竹縣,峨眉鄉,1962,6162,3433,2729
2007/3/1,新竹縣,尖石鄉,2517,8193,4538,3655
2007/3/1,新竹縣,五峰鄉,1667,4516,2563,1953
2007/3/1,苗栗縣,苗栗市,27560,90782,46106,44676
2007/3/1,苗栗縣,苑裡鎮,13086,48961,25672,23289
2007/3/1,苗栗縣,通霄鎮,10836,39479,21115,18364
2007/3/1,苗栗縣,竹南鎮,21215,74401,38041,36360
2007/3/1,苗栗縣,頭份市,26644,93907,48162,45745
2007/3/1,苗栗縣,後龍鎮,11324,40664,21615,19049
2007/3/1,苗栗縣,卓蘭鎮,5684,18596,9910,8686
2007/3/1,苗栗縣,大湖鄉,5043,16375,8841,7534
2007/3/1,苗栗縣,公館鄉,9431,34623,18199,16424
2007/3/1,苗栗縣,銅鑼鄉,5814,20033,10694,9339
2007/3/1,苗栗縣,南庄鄉,3797,11589,6459,5130
2007/3/1,苗栗縣,頭屋鄉,3430,11973,6298,5675
2007/3/1,苗栗縣,三義鄉,5043,17836,9447,8389
2007/3/1,苗栗縣,西湖鄉,2549,8076,4487,3589
2007/3/1,苗栗縣,造橋鄉,3850,13959,7379,6580
2007/3/1,苗栗縣,三灣鄉,2274,7561,4111,3450
2007/3/1,苗栗縣,獅潭鄉,1596,5199,2906,2293
2007/3/1,苗栗縣,泰安鄉,1780,5695,3144,2551
2007/3/1,臺中市,豐原區,46432,164071,82007,82064
2007/3/1,臺中市,大里區,57011,190537,95107,95430
2007/3/1,臺中市,太平區,51670,171138,86275,84863
2007/3/1,臺中市,東勢區,16431,55129,28777,26352
2007/3/1,臺中市,大甲區,20627,79542,40419,39123
2007/3/1,臺中市,清水區,23597,85746,44450,41296
2007/3/1,臺中市,沙鹿區,20819,77616,39707,37909
2007/3/1,臺中市,梧棲區,15075,53890,27463,26427
2007/3/1,臺中市,后里區,14088,54630,28367,26263
2007/3/1,臺中市,神岡區,16745,64212,33152,31060
2007/3/1,臺中市,潭子區,29658,96619,48517,48102
2007/3/1,臺中市,大雅區,24548,87186,44276,42910
2007/3/1,臺中市,新社區,7069,25814,13658,12156
2007/3/1,臺中市,石岡區,4609,16183,8425,7758
2007/3/1,臺中市,外埔區,8177,31681,16395,15286
2007/3/1,臺中市,大安區,5085,20775,10987,9788
2007/3/1,臺中市,烏日區,18794,67199,34323,32876
2007/3/1,臺中市,大肚區,15063,55870,28780,27090
2007/3/1,臺中市,龍井區,19211,71425,36582,34843
2007/3/1,臺中市,霧峰區,17895,64554,33272,31282
2007/3/1,臺中市,和平區,4499,10954,6031,4923
2007/3/1,彰化縣,彰化市,67831,235575,118157,117418
2007/3/1,彰化縣,鹿港鎮,20959,85063,43695,41368
2007/3/1,彰化縣,和美鎮,22531,88897,45755,43142
2007/3/1,彰化縣,北斗鎮,9366,33487,17038,16449
2007/3/1,彰化縣,員林市,34825,126248,63875,62373
2007/3/1,彰化縣,溪湖鎮,14304,56568,29090,27478
2007/3/1,彰化縣,田中鎮,12016,45226,23816,21410
2007/3/1,彰化縣,二林鎮,13725,55419,28677,26742
2007/3/1,彰化縣,線西鄉,3894,17011,8787,8224
2007/3/1,彰化縣,伸港鄉,8347,35551,18362,17189
2007/3/1,彰化縣,福興鄉,11338,48818,25657,23161
2007/3/1,彰化縣,秀水鄉,9064,38689,20098,18591
2007/3/1,彰化縣,花壇鄉,12119,46340,23982,22358
2007/3/1,彰化縣,芬園鄉,6706,25402,13489,11913
2007/3/1,彰化縣,大村鄉,9673,36488,19125,17363
2007/3/1,彰化縣,埔鹽鄉,8455,34851,18371,16480
2007/3/1,彰化縣,埔心鄉,9383,35460,18423,17037
2007/3/1,彰化縣,永靖鄉,9922,39913,20782,19131
2007/3/1,彰化縣,社頭鄉,11788,45570,23529,22041
2007/3/1,彰化縣,二水鄉,5151,17226,9131,8095
2007/3/1,彰化縣,田尾鄉,7421,29217,15238,13979
2007/3/1,彰化縣,埤頭鄉,8134,32091,16875,15216
2007/3/1,彰化縣,芳苑鄉,9782,37227,19803,17424
2007/3/1,彰化縣,大城鄉,5272,19409,10623,8786
2007/3/1,彰化縣,竹塘鄉,4448,16800,8895,7905
2007/3/1,彰化縣,溪州鄉,8402,32276,17097,15179
2007/3/1,南投縣,南投市,31777,105617,53426,52191
2007/3/1,南投縣,埔里鎮,27220,86551,43991,42560
2007/3/1,南投縣,草屯鎮,29085,99766,50757,49009
2007/3/1,南投縣,竹山鎮,17799,59362,30831,28531
2007/3/1,南投縣,集集鎮,4066,12195,6429,5766
2007/3/1,南投縣,名間鄉,11609,41756,22103,19653
2007/3/1,南投縣,鹿谷鄉,6201,19712,10528,9184
2007/3/1,南投縣,中寮鄉,5370,16714,9157,7557
2007/3/1,南投縣,魚池鄉,5566,17421,9319,8102
2007/3/1,南投縣,國姓鄉,6984,21711,11921,9790
2007/3/1,南投縣,水里鄉,7139,21176,11160,10016
2007/3/1,南投縣,信義鄉,5003,17257,9410,7847
2007/3/1,南投縣,仁愛鄉,4822,15486,8213,7273
2007/3/1,雲林縣,斗六市,31973,105111,53239,51872
2007/3/1,雲林縣,斗南鎮,14527,47911,24508,23403
2007/3/1,雲林縣,虎尾鎮,20666,69003,35323,33680
2007/3/1,雲林縣,西螺鎮,13444,49193,25176,24017
2007/3/1,雲林縣,土庫鎮,8297,31303,16471,14832
2007/3/1,雲林縣,北港鎮,14713,44559,23267,21292
2007/3/1,雲林縣,古坑鄉,10198,35008,18552,16456
2007/3/1,雲林縣,大埤鄉,6355,22012,11746,10266
2007/3/1,雲林縣,莿桐鄉,8617,31075,16320,14755
2007/3/1,雲林縣,林內鄉,5492,20514,10755,9759
2007/3/1,雲林縣,二崙鄉,8499,30839,16571,14268
2007/3/1,雲林縣,崙背鄉,7929,28292,15046,13246
2007/3/1,雲林縣,麥寮鄉,11058,33077,17707,15370
2007/3/1,雲林縣,東勢鄉,5571,17847,9680,8167
2007/3/1,雲林縣,褒忠鄉,4112,14932,7985,6947
2007/3/1,雲林縣,臺西鄉,8367,27549,14871,12678
2007/3/1,雲林縣,元長鄉,9022,30004,16385,13619
2007/3/1,雲林縣,四湖鄉,8661,27822,15391,12431
2007/3/1,雲林縣,口湖鄉,9268,31382,16848,14534
2007/3/1,雲林縣,水林鄉,9597,30013,16471,13542
2007/3/1,嘉義縣,太保市,10117,35227,18341,16886
2007/3/1,嘉義縣,朴子市,13411,44330,22793,21537
2007/3/1,嘉義縣,布袋鎮,9818,31515,16360,15155
2007/3/1,嘉義縣,大林鎮,10814,34585,17904,16681
2007/3/1,嘉義縣,民雄鄉,21328,72726,37580,35146
2007/3/1,嘉義縣,溪口鄉,5145,16938,9061,7877
2007/3/1,嘉義縣,新港鄉,9992,35510,18784,16726
2007/3/1,嘉義縣,六腳鄉,8860,27522,14629,12893
2007/3/1,嘉義縣,東石鄉,9045,28906,15437,13469
2007/3/1,嘉義縣,義竹鄉,7191,21968,11449,10519
2007/3/1,嘉義縣,鹿草鄉,5497,17527,9415,8112
2007/3/1,嘉義縣,水上鄉,16988,53875,28126,25749
2007/3/1,嘉義縣,中埔鄉,14308,48213,25281,22932
2007/3/1,嘉義縣,竹崎鄉,10987,39601,21150,18451
2007/3/1,嘉義縣,梅山鄉,6259,22435,11932,10503
2007/3/1,嘉義縣,番路鄉,3709,11852,6485,5367
2007/3/1,嘉義縣,大埔鄉,1741,3928,2139,1789
2007/3/1,嘉義縣,阿里山鄉,1927,6161,3315,2846
2007/3/1,臺南市,新營區,25897,78954,39719,39235
2007/3/1,臺南市,永康區,69239,209150,104736,104414
2007/3/1,臺南市,鹽水區,9556,28010,14631,13379
2007/3/1,臺南市,白河區,10683,32622,17310,15312
2007/3/1,臺南市,麻豆區,14126,46387,23859,22528
2007/3/1,臺南市,佳里區,18104,59203,29608,29595
2007/3/1,臺南市,新化區,12990,44694,23004,21690
2007/3/1,臺南市,善化區,13315,42261,21617,20644
2007/3/1,臺南市,學甲區,9120,28767,14819,13948
2007/3/1,臺南市,柳營區,7504,23343,12246,11097
2007/3/1,臺南市,後壁區,8320,26666,13889,12777
2007/3/1,臺南市,東山區,7982,23924,12838,11086
2007/3/1,臺南市,下營區,8798,26903,13961,12942
2007/3/1,臺南市,六甲區,7328,24532,12798,11734
2007/3/1,臺南市,官田區,7449,22746,11779,10967
2007/3/1,臺南市,大內區,3999,11449,6132,5317
2007/3/1,臺南市,西港區,7483,25705,13183,12522
2007/3/1,臺南市,七股區,7690,25193,13243,11950
2007/3/1,臺南市,將軍區,7228,22294,11446,10848
2007/3/1,臺南市,北門區,4161,12752,6581,6171
2007/3/1,臺南市,新市區,10321,35772,18036,17736
2007/3/1,臺南市,安定區,8542,29885,15570,14315
2007/3/1,臺南市,山上區,2671,8104,4296,3808
2007/3/1,臺南市,玉井區,4978,15977,8348,7629
2007/3/1,臺南市,楠西區,3583,11110,5938,5172
2007/3/1,臺南市,南化區,2805,9013,4956,4057
2007/3/1,臺南市,左鎮區,1922,5682,3146,2536
2007/3/1,臺南市,仁德區,23059,68161,35302,32859
2007/3/1,臺南市,歸仁區,19170,65225,33368,31857
2007/3/1,臺南市,關廟區,10438,37237,19403,17834
2007/3/1,臺南市,龍崎區,1534,4393,2398,1995
2007/3/1,高雄市,鳳山區,120240,338873,170183,168690
2007/3/1,高雄市,岡山區,31572,95616,48454,47162
2007/3/1,高雄市,旗山區,13487,41314,21699,19615
2007/3/1,高雄市,美濃區,13454,44371,23341,21030
2007/3/1,高雄市,林園區,23244,71521,36980,34541
2007/3/1,高雄市,大寮區,36128,109298,57209,52089
2007/3/1,高雄市,大樹區,12790,45021,23448,21573
2007/3/1,高雄市,仁武區,22633,66658,34519,32139
2007/3/1,高雄市,大社區,11080,32599,16804,15795
2007/3/1,高雄市,鳥松區,15413,41096,21023,20073
2007/3/1,高雄市,橋頭區,12202,36774,18965,17809
2007/3/1,高雄市,燕巢區,9516,31312,16824,14488
2007/3/1,高雄市,田寮區,3605,8678,4864,3814
2007/3/1,高雄市,阿蓮區,8809,30947,15677,15270
2007/3/1,高雄市,路竹區,15252,54610,28012,26598
2007/3/1,高雄市,湖內區,8931,28694,14889,13805
2007/3/1,高雄市,茄萣區,9844,32135,16882,15253
2007/3/1,高雄市,永安區,5541,14281,7341,6940
2007/3/1,高雄市,彌陀區,6366,20915,10990,9925
2007/3/1,高雄市,梓官區,11433,37462,19636,17826
2007/3/1,高雄市,六龜區,5621,15744,8605,7139
2007/3/1,高雄市,甲仙區,2582,8338,4499,3839
2007/3/1,高雄市,杉林區,3972,11521,6349,5172
2007/3/1,高雄市,內門區,4968,16700,9126,7574
2007/3/1,高雄市,茂林區,519,1768,904,864
2007/3/1,高雄市,桃源區,1205,4821,2595,2226
2007/3/1,屏東縣,屏東市,70181,216285,108631,107654
2007/3/1,屏東縣,潮州鎮,17398,56977,28837,28140
2007/3/1,屏東縣,東港鎮,14426,50345,25762,24583
2007/3/1,屏東縣,恆春鎮,10157,31305,16310,14995
2007/3/1,屏東縣,萬丹鄉,13582,54408,28292,26116
2007/3/1,屏東縣,長治鄉,9359,30946,16316,14630
2007/3/1,屏東縣,麟洛鄉,3426,11760,6095,5665
2007/3/1,屏東縣,九如鄉,6358,23237,12091,11146
2007/3/1,屏東縣,里港鄉,7726,26547,13692,12855
2007/3/1,屏東縣,鹽埔鄉,7416,27878,14599,13279
2007/3/1,屏東縣,高樹鄉,9492,27733,14893,12840
2007/3/1,屏東縣,萬巒鄉,6263,22857,12103,10754
2007/3/1,屏東縣,內埔鄉,17061,59559,31197,28362
2007/3/1,屏東縣,竹田鄉,5363,18635,9963,8672
2007/3/1,屏東縣,新埤鄉,3266,11103,5915,5188
2007/3/1,屏東縣,枋寮鄉,8251,27551,14645,12906
2007/3/1,屏東縣,新園鄉,10757,39876,20725,19151
2007/3/1,屏東縣,崁頂鄉,3894,16847,8729,8118
2007/3/1,屏東縣,林邊鄉,6143,21396,11128,10268
2007/3/1,屏東縣,南州鄉,3564,12236,6305,5931
2007/3/1,屏東縣,佳冬鄉,6564,21934,11498,10436
2007/3/1,屏東縣,琉球鄉,3695,12754,7072,5682
2007/3/1,屏東縣,車城鄉,3382,10234,5534,4700
2007/3/1,屏東縣,滿州鄉,2955,8759,4803,3956
2007/3/1,屏東縣,枋山鄉,2099,6303,3399,2904
2007/3/1,屏東縣,三地門鄉,1998,7269,3734,3535
2007/3/1,屏東縣,霧臺鄉,808,2815,1508,1307
2007/3/1,屏東縣,瑪家鄉,1801,6573,3458,3115
2007/3/1,屏東縣,泰武鄉,1065,4954,2639,2315
2007/3/1,屏東縣,來義鄉,2060,7861,4043,3818
2007/3/1,屏東縣,春日鄉,1248,5037,2648,2389
2007/3/1,屏東縣,獅子鄉,1409,5010,2667,2343
2007/3/1,屏東縣,牡丹鄉,1753,4931,2558,2373
2007/3/1,臺東縣,臺東市,36609,110437,56524,53913
2007/3/1,臺東縣,成功鎮,5287,16616,8913,7703
2007/3/1,臺東縣,關山鎮,3158,10064,5321,4743
2007/3/1,臺東縣,卑南鄉,6382,18624,10284,8340
2007/3/1,臺東縣,大武鄉,2471,7270,3827,3443
2007/3/1,臺東縣,太麻里鄉,4465,12371,6663,5708
2007/3/1,臺東縣,東河鄉,3417,9848,5477,4371
2007/3/1,臺東縣,長濱鄉,2799,8960,5087,3873
2007/3/1,臺東縣,鹿野鄉,3097,9083,4937,4146
2007/3/1,臺東縣,池上鄉,3181,9599,5146,4453
2007/3/1,臺東縣,綠島鄉,865,3048,1607,1441
2007/3/1,臺東縣,延平鄉,1052,3665,2055,1610
2007/3/1,臺東縣,海端鄉,1076,4612,2520,2092
2007/3/1,臺東縣,達仁鄉,1395,3784,2098,1686
2007/3/1,臺東縣,金峰鄉,973,3338,1769,1569
2007/3/1,臺東縣,蘭嶼鄉,1169,3907,2062,1845
2007/3/1,花蓮縣,花蓮市,38468,109543,54313,55230
2007/3/1,花蓮縣,鳳林鎮,4369,12614,6688,5926
2007/3/1,花蓮縣,玉里鎮,8730,28505,15628,12877
2007/3/1,花蓮縣,新城鄉,7113,20639,10778,9861
2007/3/1,花蓮縣,吉安鄉,26983,78795,40705,38090
2007/3/1,花蓮縣,壽豐鄉,6634,19547,10701,8846
2007/3/1,花蓮縣,光復鄉,4964,14903,8000,6903
2007/3/1,花蓮縣,豐濱鄉,1802,5427,3030,2397
2007/3/1,花蓮縣,瑞穗鄉,4477,13564,7360,6204
2007/3/1,花蓮縣,富里鄉,3865,12200,6756,5444
